Carbohydrate degradation	Amino Acid Degradation	Carboxylate Degradation	Nucleoside and Nucleotide Degradation	Secondary Metabolite Degradation	Amino Acid Biosynthesis	Aromatic Compound Biosynthesis	Carbohydrate Biosynthesis	Cofactor, Carrier, and Vitamin Biosynthesis	Fatty Acid and Lipid Biosynthesis	Nucleoside and Nucleotide Biosynthesis	Secondary Metabolite Biosynthesis	Fermentation	Glycolysis	Generation of Precursor Metabolites and Energy	Inorganic Nutrient Metabolism	Aminoacyl-tRNA Charging	Group
SRR5983371	-4.16626158924981	-9	-5.4120358465453	-4.02746671954469	-9	-4.92800578019109	-3.64293354218135	-7.28908352139235	-3.80386769799862	-4.22699659966054	-3.90093335324197	-3.39726737338287	-6.32953887112082	-3.82612899279392	-5.27423771389528	-7.16120017320388	-4.05507191097958	CD
SRR5983377	-4.36760889283319	-6.56903574895314	-4.67470332875584	-4.4618551935672	-9	-4.75030280235094	-3.82933886016272	-7.39238799576585	-3.92335407756904	-4.68661076239636	-4.13693079464407	-3.55708928603519	-6.41315971220918	-4.16406483203259	-4.77226848316965	-6.6947263414896	-3.78389482398423	CD
SRR5983384	-4.231408163239	-6.83949195927314	-4.54406794993229	-4.40117206497322	-9	-4.7838212454266	-3.78963017281614	-7.23511914879904	-3.76493317707022	-4.2839643016348	-3.98293536615325	-3.46095904784755	-6.33419414127866	-3.66325451682178	-4.31067278577646	-6.89297698679314	-3.96725233969537	CD
SRR5983386	-4.90617489570556	-6.69656221123878	-9	-4.6561676921722	-9	-4.48917015175792	-3.58514236792947	-7.38178727825399	-3.73212596738262	-4.25550574286366	-4.01849627026079	-3.34920016696796	-6.34420730436816	-4.05197274924151	-7.15738627777533	-6.76423899893437	-3.76559915136079	CD
SRR5983405	-4.05325945287767	-6.83548624838675	-4.69516826725569	-4.28652053876686	-9	-4.24577885216419	-3.61997436559144	-7.27504118923205	-3.7182702066581	-3.93693434615633	-4.03889450079206	-3.47794458841175	-6.2899917054233	-3.73046021090308	-4.19472891843107	-6.52934642156267	-3.82440122048162	CD
SRR5983411	-3.69345190142329	-6.78199107095969	-3.95602529296967	-3.61608095737307	-9	-4.13797142641643	-3.48476878530691	-7.37755346776451	-4.27604096823306	-3.94697075249957	-3.97634601145798	-3.58307338519679	-6.23222955608542	-3.76894512916321	-3.87269072562121	-6.77966429304774	-3.49640404432514	CD
SRR5983412	-4.13207043912007	-9	-5.39721625384512	-4.57896778198794	-9	-5.00636336340339	-3.68652903969708	-7.3642161016886	-3.93208001810248	-9	-4.62033185613722	-3.36215117539459	-6.43411364925027	-4.78338051737729	-7.13627370007234	-9	-3.8582211028177	CD
SRR5983418	-3.78434086391718	-6.53954876107112	-4.51842059382988	-4.02390122993447	-9	-4.23442862387047	-3.5447949947959	-7.38046695023708	-3.76156533454877	-4.22777369458835	-3.94845447245607	-3.45954538632859	-6.31571000548074	-4.09874558258721	-4.32633685604866	-6.85353100077295	-3.435954461429	CD
SRR5983422	-4.23535339159396	-9	-4.75216741044243	-4.4413475196218	-9	-4.3542353454257	-4.11367937536312	-7.24638300461044	-3.797854142588	-4.0111442215258	-4.13455267361547	-3.46369033801034	-6.31520066283379	-3.68567028755315	-4.38145295415402	-6.9258745590483	-3.89271539240207	CD
SRR5983427	-4.1354370044171	-7.16437422716465	-4.92193558394657	-4.48242110756562	-9	-4.46261550252784	-3.64316182181145	-7.32344406577489	-3.77114429486724	-4.12406407996475	-3.963397891544	-3.40395299245456	-6.31606913051755	-3.9326891037183	-4.92042467206347	-6.6432160906022	-3.74783899453501	CD
SRR5983428	-4.08404311298525	-6.91884925988956	-5.42918655654552	-4.34793545073694	-9	-4.62336339431669	-3.91717246429067	-7.31979658310389	-3.78185911600829	-3.87546723076922	-5.19642116828302	-3.54478804966873	-6.31460024246028	-4.35334688961038	-5.47189242942597	-7.02586419928048	-4.10978192294133	CD
SRR5983434	-3.77004098124754	-7.05823741773625	-5.0283857106799	-4.43005719035039	-9	-4.35771669025212	-3.85184971155986	-7.3021075722342	-3.74539925685694	-3.8843488975036	-3.96940996762404	-3.50718794557111	-6.2707516357627	-3.88291794118996	-4.16183858271365	-6.8915016326035	-4.57472832660668	CD
SRR5983436	-5.33241604452005	-6.49316225550453	-9	-6.65929118315961	-9	-4.84238766196413	-3.830127122274	-7.24785296207074	-3.86757479371714	-4.21379125234627	-4.16842793247664	-3.46699861463758	-6.28050891254515	-3.62196399073985	-4.67109754531497	-6.62091700460796	-3.75494654518568	CD
SRR5983441	-4.01620363195361	-7.03262304857303	-4.81153878727202	-4.32121076085802	-9	-4.33832669430149	-3.59311695775663	-7.26405547864892	-3.83309234128845	-4.16362079351074	-3.9296925972458	-3.31336104991585	-6.32479631422574	-4.32132629257016	-4.55977446188938	-6.77152031705037	-3.87754491593873	CD
SRR5983450	-4.02008696781728	-6.94734371079529	-4.36509592003955	-4.0640223304914	-9	-4.33038164626679	-3.70234744426318	-7.28300958931246	-3.7742512369899	-3.9445818976713	-3.98275593769799	-3.47986640194766	-6.31480737283134	-3.88478552532609	-4.26018703596057	-6.70286340706423	-3.88765310504871	CD
